Timestamp,Statement,Answer
2022-01-06T00:57:29.98Z,How much have you thought about your end-of-life wishes?,I haven't thought about it
2022-01-06T00:57:44.397Z,What's motivating you to prepare for end of life?,I don't want to burden loved ones
2022-01-06T00:57:44.397Z,What's motivating you to prepare for end of life?,I want to ensure my wishes are honored
2022-01-06T00:57:44.397Z,What's motivating you to prepare for end of life?,I want to protect my family financially
2022-01-06T00:57:44.397Z,What's motivating you to prepare for end of life?,I want to prevent family disagreements.
2022-01-06T00:58:18.38Z,What could you most use help on right now?,Health care planning
2022-01-06T00:58:18.38Z,What could you most use help on right now?,Planning my future funeral
2022-01-06T00:58:18.38Z,What could you most use help on right now?,Deciding what to do with my body
2022-01-06T00:58:18.38Z,What could you most use help on right now?,Getting my legal documents in place
2022-01-06T00:58:18.38Z,What could you most use help on right now?,Leaving a legacy
2022-01-06T00:58:18.38Z,What could you most use help on right now?,Protecting my pets when I die
2022-01-06T00:58:18.38Z,What could you most use help on right now?,Organizing my accounts & documents
2022-01-06T00:58:18.38Z,What could you most use help on right now?,Sharing my wishes
2022-01-06T01:16:41.287Z,What details of your funeral are important to you?,Other
2022-01-06T01:16:41.29Z,What details of your funeral are important to you?,Other
2022-01-06T01:16:54.087Z,What do you want the mood to be at your funeral?,Celebratory
2022-01-06T01:18:18.003Z,What do you want to happen to your body after you die?,Green burial
2022-01-06T01:19:04.43Z,Where do you want your funeral to take place?,Other
2022-01-06T01:19:04.437Z,Where do you want your funeral to take place?,Other
2022-01-06T01:20:31.833Z,What would you like people to give in your honor?,Other
2022-01-06T01:20:31.903Z,What would you like people to give in your honor?,Other
2022-01-06T01:21:00.06Z,Are you an organ donor?,No
2022-01-06T01:29:13.493Z,What physical markers do you want established in your honor?,Grave marker
2022-01-06T01:29:13.493Z,What physical markers do you want established in your honor?,Bench
2022-01-06T01:29:13.493Z,What physical markers do you want established in your honor?,Tree
2022-01-06T01:29:13.5Z,What physical markers do you want established in your honor?,Grave marker
2022-01-06T01:29:13.5Z,What physical markers do you want established in your honor?,Bench
2022-01-06T01:29:13.5Z,What physical markers do you want established in your honor?,Tree
2022-01-06T01:31:56.257Z,Do you have life insurance?,Yes
2022-01-06T01:31:56.26Z,Do you have life insurance?,Yes
2022-01-06T01:32:24.51Z,Do you have a power of attorney?,No
2022-01-06T01:32:24.517Z,Do you have a power of attorney?,No
2022-01-06T01:38:24.207Z,Who should your loved ones reach out to when managing your estate?,Other
2022-01-06T01:38:24.24Z,Who should your loved ones reach out to when managing your estate?,Other
2022-01-06T01:38:58.773Z,Do you have a will and/or trust?,Yes
2022-01-06T01:38:58.777Z,Do you have a will and/or trust?,Yes
2022-01-06T01:39:22.68Z,What do you want to happen to your email accounts when you die?,Delete it all!
2022-01-06T23:04:54.247Z,What do you want to happen to your body after you die?,Traditional burial
2022-01-06T23:05:51.3Z,What do you want the mood to be at your funeral?,Other
2022-01-06T23:05:51.303Z,What do you want the mood to be at your funeral?,Other
2022-01-06T23:16:01.883Z,What would you like people to give in your honor?,Flowers
2022-01-06T23:16:01.89Z,What would you like people to give in your honor?,Flowers
2022-01-06T23:17:34.663Z,Do you have life insurance?,Yes
2022-01-06T23:18:30.27Z,Who should your loved ones reach out to when managing your estate?,Other
2022-01-06T23:18:30.277Z,Who should your loved ones reach out to when managing your estate?,Other
2022-01-06T23:19:01.93Z,Do you have a will and/or trust?,Yes
2022-01-06T23:19:09.837Z,Do you have a power of attorney?,No
2022-01-06T23:22:03.653Z,Are you an organ donor?,Yes
2022-01-06T23:22:49.757Z,Which healthcare documents do you have?,HIPAA release form
2022-01-06T23:22:49.763Z,Which healthcare documents do you have?,HIPAA release form
2022-01-06T23:29:10.12Z,What do you want to happen to your email accounts when you die?,Give someone I trust access to the content
2022-01-06T23:29:10.127Z,What do you want to happen to your email accounts when you die?,Give someone I trust access to the content
